citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,CZ	1301 	392 	254 	388 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,DE	: 	: 	: 	34476 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,DK	687 	659 	656 	740 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,EE	73 	76 	27 	42 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,EL	: 	: 	: 	353 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,ES	: 	: 	957 	909 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,FI	394 	: 	413 	463 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,FR	: 	: 	: 	6344 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,HR	823 	728 	792 	715 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,HU	1395 	1308 	1124 	1107 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,IE	: 	: 	: 	218 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,IS	39 	: 	19 	33 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,IT	3461 	: 	3595 	4227 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,LI	21 	11 	8 	22 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,LT	68 	29 	: 	28 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,LU	562 	450 	442 	418 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,LV	: 	: 	15 	34 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,NL	3197 	2768 	2737 	2881 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,NO	1163 	: 	938 	897 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,PT	: 	: 	: 	49 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,RO	1375 	1123 	1531 	1684 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,SE	3231 	: 	3305 	2643 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,SI	2542 	2065 	2114 	2335 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,SK	43 	78 p	38 p	55 p
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,T,UK	: 	: 	: 	5112 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,AT	0 	: 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,BE	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,BG	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,EL	: 	: 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,ES	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,FI	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,IS	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,IT	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,LT	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,LU	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,NO	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,PL	: 	: 	: 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,RO	: 	0 	0 	0 
CC5_13_FOR_X_IS,COMPLET,UNK,NR,F,SE	: 	: 	: 	0 
