age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,CH	6747 	6117 	5743 	5531 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,CY	: 	: 	: 	54 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,CZ	1356 	429 	326 	436 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,DE	: 	: 	: 	32662 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,DK	950 	843 	807 	889 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,EE	83 	81 	29 	40 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,EL	: 	: 	: 	442 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,ES	: 	: 	1041 	981 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,FI	424 	331 	406 	456 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,FR	: 	: 	: 	7239 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,HR	1112 	1012 	998 	901 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,HU	3824 	4444 	4521 	3458 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,IE	: 	: 	: 	212 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,IS	61 	30 	29 	40 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,IT	1719 	1704 	1722 	1831 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,LI	21 	14 	11 	28 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,LT	87 	34 	41 	35 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,LU	604 	488 	489 	414 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,LV	: 	: 	24 	41 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,NL	3862 	3149 	2958 	3209 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,NO	1363 	1181 	1084 	1038 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,PL	: 	: 	: 	2372 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,PT	: 	: 	: 	54 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,RO	1739 	1170 	347 	495 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,SE	3484 	3274 	3107 	3010 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,SI	3116 	2512 	2648 	2571 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,SK	137 	146 p	97 p	104 p
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,T,UK	: 	: 	: 	5531 
TOTAL,COMPLET,CC5_15_FOR,NR,F,AT	5020 	4912 	4232 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,BE	1430 	1475 	1347 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,BG	611 	582 p	594 p	766 
TOTAL,COMPLET,CC5_15_FOR,NR,F,CH	3333 	3088 	2924 	2869 
TOTAL,COMPLET,CC5_15_FOR,NR,F,CY	0 	39 	28 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,CZ	442 	134 	113 	161 
TOTAL,COMPLET,CC5_15_FOR,NR,F,DE	18457 be	31986 	23067 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,DK	414 	396 	387 	419 
TOTAL,COMPLET,CC5_15_FOR,NR,F,EE	26 	26 b	7 	17 
TOTAL,COMPLET,CC5_15_FOR,NR,F,EL	3376 b	3174 	3036 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,ES	817 	706 	618 	593 
TOTAL,COMPLET,CC5_15_FOR,NR,F,FI	192 	161 	185 	226 
TOTAL,COMPLET,CC5_15_FOR,NR,F,FR	4550 	4183 	3576 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,HR	467 	510 	545.0 	514.0 
TOTAL,COMPLET,CC5_15_FOR,NR,F,HU	1434 	1649 	1712 	1309 
TOTAL,COMPLET,CC5_15_FOR,NR,F,IE	84 	67 	73 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,IS	46 	15 	12 	20 
TOTAL,COMPLET,CC5_15_FOR,NR,F,IT	7846 	7241 	7210 	7750 
TOTAL,COMPLET,CC5_15_FOR,NR,F,LI	13 	10 	7 	12 
TOTAL,COMPLET,CC5_15_FOR,NR,F,LT	22 	5 	5 	6 
TOTAL,COMPLET,CC5_15_FOR,NR,F,LU	352 	297 	289 	218 
TOTAL,COMPLET,CC5_15_FOR,NR,F,LV	7 	4 	5 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,MT	602 	540 	279 	147 
TOTAL,COMPLET,CC5_15_FOR,NR,F,NL	1940 	1596 	1371 	1480 
TOTAL,COMPLET,CC5_15_FOR,NR,F,NO	776 	683 	567 	547 
TOTAL,COMPLET,CC5_15_FOR,NR,F,PL	277 ep	248 p	529 p	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,PT	5 e	34 	12 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,F,RO	654 	444 	67 	91 
TOTAL,COMPLET,CC5_15_FOR,NR,F,SE	1856 	1653 	1541 	1438 
TOTAL,COMPLET,CC5_15_FOR,NR,F,SI	991 	879 	910 	954 
TOTAL,COMPLET,CC5_15_FOR,NR,F,SK	44 p	51 p	17 p	28 p
TOTAL,COMPLET,CC5_15_FOR,NR,F,UK	2627 	2312 	5008 	: 
TOTAL,COMPLET,CC5_15_FOR,NR,M,AT	5827 	5925 	5082 	: 
