age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
Y15-19,REACH,TOTAL,NR,M,PL	3763 ep	4502 p	4485 p	3829 
Y15-19,REACH,TOTAL,NR,M,PT	992 e	997 	524 	761 
Y15-19,REACH,TOTAL,NR,M,SE	10049 	6468 	6069 	5319 
Y15-19,REACH,TOTAL,NR,M,SK	91 p	106 p	60 p	53 p
Y15-19,REACH,TOTAL,NR,T,BE	7492 	10962 	7296 	7589 
Y15-19,REACH,TOTAL,NR,T,BG	890 p	1102 p	1166 p	629 p
Y15-19,REACH,TOTAL,NR,T,CH	9024 	8930 	8844 	9300 
Y15-19,REACH,TOTAL,NR,T,CY	1097 	1198 	923 	426 
Y15-19,REACH,TOTAL,NR,T,CZ	3380 	1365 	1487 	1590 
Y15-19,REACH,TOTAL,NR,T,DE	93839 be	172730 	65349 	46035 
Y15-19,REACH,TOTAL,NR,T,DK	5413 	5555 	4623 	3886 
Y15-19,REACH,TOTAL,NR,T,EE	458 	411 b	101 	157 
Y15-19,REACH,TOTAL,NR,T,ES	29781 	24247 	22245 	21574 
Y15-19,REACH,TOTAL,NR,T,FI	3161 	1647 	1644 	1743 
Y15-19,REACH,TOTAL,NR,T,FR	32108 	30339 	27596 	25824 
Y15-19,REACH,TOTAL,NR,T,HR	627 	550 	601 	698 
Y15-19,REACH,TOTAL,NR,T,HU	3342 	3403 	3420 	2385 
Y15-19,REACH,TOTAL,NR,T,IS	378 	268 	289 	379 
Y15-19,REACH,TOTAL,NR,T,IT	26293 	22514 	19528 	20281 
Y15-19,REACH,TOTAL,NR,T,LI	22 	25 	31 	26 
Y15-19,REACH,TOTAL,NR,T,LT	583 	436 	485 	511 
Y15-19,REACH,TOTAL,NR,T,LU	984 	1079 	987 	901 
Y15-19,REACH,TOTAL,NR,T,LV	193 	153 	251 	88 
Y15-19,REACH,TOTAL,NR,T,NL	16825 	14134 	11286 	10016 
Y15-19,REACH,TOTAL,NR,T,NO	4842 	3841 	3660 	3345 
Y15-19,REACH,TOTAL,NR,T,PL	7258 ep	8878 p	8390 p	7247 
Y15-19,REACH,TOTAL,NR,T,PT	2111 e	2138 	1307 	1506 
Y15-19,REACH,TOTAL,NR,T,SE	15437 	11224 	10449 	9747 
Y15-19,REACH,TOTAL,NR,T,SK	183 p	187 p	127 p	108 p
Y15-19,REACH,UNK,NR,F,BE	28 	51 	27 	27 
Y15-19,REACH,UNK,NR,F,BG	1 p	0 p	0 p	2 p
Y15-19,REACH,UNK,NR,F,CH	135 	150 	25 	23 
Y15-19,REACH,UNK,NR,F,CY	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,CZ	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,DE	807 be	1339 	126 	130 
Y15-19,REACH,UNK,NR,F,DK	1 	56 	40 	16 
Y15-19,REACH,UNK,NR,F,EE	0 	0 b	0 	0 
Y15-19,REACH,UNK,NR,F,ES	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,FI	29 	30 	12 	12 
Y15-19,REACH,UNK,NR,F,FR	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,HR	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,HU	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,IS	7 	0 	1 	2 
Y15-19,REACH,UNK,NR,F,IT	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,LI	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,LT	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,LU	3 	8 	13 	6 
Y15-19,REACH,UNK,NR,F,LV	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,NL	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,NO	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,F,PL	98 ep	89 p	7 p	0 
Y15-19,REACH,UNK,NR,F,PT	0 e	0 	0 	0 
Y15-19,REACH,UNK,NR,F,SE	3 	4 	4 	6 
Y15-19,REACH,UNK,NR,F,SK	0 p	0 p	0 p	0 p
Y15-19,REACH,UNK,NR,M,BE	30 	92 	28 	17 
Y15-19,REACH,UNK,NR,M,BG	0 p	0 p	0 p	0 p
Y15-19,REACH,UNK,NR,M,CH	107 	118 	13 	19 
Y15-19,REACH,UNK,NR,M,CY	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,CZ	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,DE	2297 be	5480 	342 	239 
Y15-19,REACH,UNK,NR,M,DK	2 	48 	42 	16 
Y15-19,REACH,UNK,NR,M,EE	0 	0 b	0 	0 
Y15-19,REACH,UNK,NR,M,ES	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,FI	23 	36 	7 	9 
Y15-19,REACH,UNK,NR,M,FR	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,HR	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,HU	0 	1 	1 	0 
Y15-19,REACH,UNK,NR,M,IS	3 	1 	5 	0 
Y15-19,REACH,UNK,NR,M,IT	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,LI	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,LT	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,LU	1 	7 	12 	12 
Y15-19,REACH,UNK,NR,M,LV	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,NL	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,NO	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,M,PL	148 ep	85 p	7 p	0 
Y15-19,REACH,UNK,NR,M,PT	0 e	0 	0 	0 
Y15-19,REACH,UNK,NR,M,SE	14 	12 	9 	4 
Y15-19,REACH,UNK,NR,M,SK	0 p	0 p	0 p	0 p
Y15-19,REACH,UNK,NR,T,BE	58 	143 	55 	44 
Y15-19,REACH,UNK,NR,T,BG	1 p	0 p	0 p	2 p
Y15-19,REACH,UNK,NR,T,CH	242 	268 	38 	42 
Y15-19,REACH,UNK,NR,T,CY	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,CZ	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,DE	3104 be	6819 	468 	369 
Y15-19,REACH,UNK,NR,T,DK	3 	104 	82 	32 
Y15-19,REACH,UNK,NR,T,EE	0 	0 b	0 	0 
Y15-19,REACH,UNK,NR,T,ES	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,FI	52 	66 	19 	21 
Y15-19,REACH,UNK,NR,T,FR	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,HR	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,HU	0 	1 	1 	0 
Y15-19,REACH,UNK,NR,T,IS	10 	1 	6 	2 
Y15-19,REACH,UNK,NR,T,IT	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,LI	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,LT	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,LU	4 	15 	25 	18 
Y15-19,REACH,UNK,NR,T,LV	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,NL	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,NO	0 	0 	0 	0 
Y15-19,REACH,UNK,NR,T,PL	246 ep	174 p	14 p	0 
Y15-19,REACH,UNK,NR,T,PT	0 e	0 	0 	0 
Y15-19,REACH,UNK,NR,T,SE	17 	16 	13 	10 
Y15-19,REACH,UNK,NR,T,SK	0 p	0 p	0 p	0 p
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,F,AT	4008 	3920 	3326 	3411 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,F,BE	: 	: 	: 	1128 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,F,EL	: 	: 	: 	202 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,F,RO	534 	371 	45 	66 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,F,SI	812 	719 	763 	785 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,F,UK	: 	: 	: 	2538 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,M,AT	4789 	4870 	4293 	4244 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,M,BE	: 	: 	: 	1269 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,M,EL	: 	: 	: 	175 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,M,RO	1070 	725 	258 	395 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,M,SI	1958 	1485 	1586 	1443 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,M,UK	: 	: 	: 	1815 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,T,AT	8797 	8790 	7619 	7655 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,T,BE	: 	: 	: 	2397 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,T,EL	: 	: 	: 	377 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,T,RO	1604 	1096 	303 	461 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,T,SI	2770 	2204 	2349 	2228 
Y15-64,COMPLET,CC5_13_FOR_X_IS,NR,T,UK	: 	: 	: 	4353 
Y15-64,COMPLET,CC5_15_FOR,NR,F,AT	4179 	4090 	3448 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,BE	1150 	: 	1103 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,BG	495 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,EL	2385 b	2236 	2129 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,ES	725 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,FI	154 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,HR	383 	: 	467.0 	453.0 
Y15-64,COMPLET,CC5_15_FOR,NR,F,IE	72 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,IS	35 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,IT	6447 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,LT	15 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,LU	278 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,MT	571 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,NO	594 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,PL	220 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,RO	589 	403 	45 	76 
Y15-64,COMPLET,CC5_15_FOR,NR,F,SE	1431 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,F,SI	822 	730 	771 	790 
Y15-64,COMPLET,CC5_15_FOR,NR,F,UK	2253 	2221 	4251 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,AT	4981 	5058 	4433 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,BE	1614 	: 	1313 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,BG	1122 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,EL	1895 b	1717 	1702 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,ES	827 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,FI	268 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,HR	592 	: 	386.0 	352.0 
Y15-64,COMPLET,CC5_15_FOR,NR,M,IE	66 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,IS	48 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,IT	5084 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,LT	66 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,LU	375 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,MT	840 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,NO	720 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,PL	1159 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,RO	1221 	875 	258 	413 
Y15-64,COMPLET,CC5_15_FOR,NR,M,SE	1824 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,M,SI	1959 	1490 	1591 	1447 
Y15-64,COMPLET,CC5_15_FOR,NR,M,UK	3724 	1551 	1479 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,AT	9160 	9148 	7881 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,BE	2764 	: 	2416 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,BG	1617 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,EL	4280 b	3953 	3831 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,ES	1552 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,FI	422 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,HR	975 	: 	853.0 	805.0 
Y15-64,COMPLET,CC5_15_FOR,NR,T,IE	138 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,IS	83 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,IT	11531 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,LT	81 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,LU	653 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,MT	1411 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,NO	1314 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,PL	1379 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,RO	1810 	1278 	303 	489 
Y15-64,COMPLET,CC5_15_FOR,NR,T,SE	3255 	: 	: 	: 
Y15-64,COMPLET,CC5_15_FOR,NR,T,SI	2781 	2220 	2362 	2237 
Y15-64,COMPLET,CC5_15_FOR,NR,T,UK	5977 	3772 	5730 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,AT	284 	268 	264 	251 
Y15-64,COMPLET,EFTA_FOR,NR,F,BE	161 	: 	174 	204 
Y15-64,COMPLET,EFTA_FOR,NR,F,BG	0 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,EL	45 b	42 	37 	34 
Y15-64,COMPLET,EFTA_FOR,NR,F,ES	845 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,FI	43 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,HR	35 	: 	29.0 	23.0 
Y15-64,COMPLET,EFTA_FOR,NR,F,IE	141 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,IS	23 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,IT	405 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,LT	2 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,LU	37 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,MT	38 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,NO	183 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,PL	66 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,RO	22 	24 	8 	5 
Y15-64,COMPLET,EFTA_FOR,NR,F,SE	1027 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,F,SI	12 	7 	13 	6 
Y15-64,COMPLET,EFTA_FOR,NR,F,UK	1744 	4376 	1771 	1822 
Y15-64,COMPLET,EFTA_FOR,NR,M,AT	303 	267 	257 	244 
Y15-64,COMPLET,EFTA_FOR,NR,M,BE	187 	: 	154 	191 
Y15-64,COMPLET,EFTA_FOR,NR,M,BG	6 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,EL	35 b	32 	31 	26 
Y15-64,COMPLET,EFTA_FOR,NR,M,ES	827 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,FI	81 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,HR	32 	: 	46.0 	22.0 
Y15-64,COMPLET,EFTA_FOR,NR,M,IE	104 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,IS	31 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,IT	334 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,LT	7 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,LU	61 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,MT	63 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,NO	187 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,PL	200 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,RO	60 	54 	15 	10 
Y15-64,COMPLET,EFTA_FOR,NR,M,SE	990 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,M,SI	17 	17 	18 	9 
Y15-64,COMPLET,EFTA_FOR,NR,M,UK	2390 	4958 	1780 	1979 
Y15-64,COMPLET,EFTA_FOR,NR,T,AT	587 	535 	521 	495 
Y15-64,COMPLET,EFTA_FOR,NR,T,BE	348 	: 	328 	395 
Y15-64,COMPLET,EFTA_FOR,NR,T,BG	6 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,EL	80 b	74 	68 	60 
Y15-64,COMPLET,EFTA_FOR,NR,T,ES	1672 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,FI	124 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,HR	67 	: 	75.0 	45.0 
Y15-64,COMPLET,EFTA_FOR,NR,T,IE	245 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,IS	54 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,IT	739 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,LT	9 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,LU	98 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,MT	101 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,NO	370 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,PL	266 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,RO	82 	78 	23 	15 
Y15-64,COMPLET,EFTA_FOR,NR,T,SE	2017 	: 	: 	: 
Y15-64,COMPLET,EFTA_FOR,NR,T,SI	29 	24 	31 	15 
Y15-64,COMPLET,EFTA_FOR,NR,T,UK	4134 	9334 	3551 	3801 
Y15-64,COMPLET,EU28_FOR,NR,F,AT	24624 	26282 	25756 	23259 
Y15-64,COMPLET,EU28_FOR,NR,F,BE	19051 	: 	21660 	21819 
Y15-64,COMPLET,EU28_FOR,NR,F,BG	285 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,EL	8262 b	8267 	7942 	7557 
Y15-64,COMPLET,EU28_FOR,NR,F,ES	38898 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,FI	2092 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,HR	801 	: 	826.0 	706.0 
Y15-64,COMPLET,EU28_FOR,NR,F,IE	11724 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,IS	1589 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,IT	28956 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,LT	196 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,LU	5178 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,MT	3097 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,NO	7313 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,PL	3673 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,RO	1523 	2454 	257 	337 
Y15-64,COMPLET,EU28_FOR,NR,F,SE	10417 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,F,SI	910 	768 	882 	799 
Y15-64,COMPLET,EU28_FOR,NR,F,UK	96634 	115311 	113673 	83088 
Y15-64,COMPLET,EU28_FOR,NR,M,AT	27544 	29411 	28679 	25299 
Y15-64,COMPLET,EU28_FOR,NR,M,BE	22571 	: 	23801 	23574 
Y15-64,COMPLET,EU28_FOR,NR,M,BG	751 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,EL	7157 b	6978 	6924 	6027 
Y15-64,COMPLET,EU28_FOR,NR,M,ES	42896 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,FI	3522 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,HR	1059 	: 	977.0 	841.0 
Y15-64,COMPLET,EU28_FOR,NR,M,IE	12204 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,IS	3041 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,IT	16638 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,LT	479 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,LU	6406 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,MT	4107 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,NO	9929 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,PL	11424 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,RO	3083 	5708 	723 	704 
Y15-64,COMPLET,EU28_FOR,NR,M,SE	13613 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,M,SI	1772 	1474 	1593 	1826 
Y15-64,COMPLET,EU28_FOR,NR,M,UK	132200 	129832 	132450 	100044 
Y15-64,COMPLET,EU28_FOR,NR,T,AT	52168 	55693 	54435 	48558 
Y15-64,COMPLET,EU28_FOR,NR,T,BE	41622 	: 	45461 	45393 
Y15-64,COMPLET,EU28_FOR,NR,T,BG	1036 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,EL	15419 b	15245 	14866 	13584 
Y15-64,COMPLET,EU28_FOR,NR,T,ES	81794 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,FI	5614 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,HR	1860 	: 	1803.0 	1547.0 
Y15-64,COMPLET,EU28_FOR,NR,T,IE	23928 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,IS	4630 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,IT	45594 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,LT	675 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,LU	11584 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,MT	7204 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,NO	17242 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,PL	15097 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,RO	4606 	8162 	980 	1041 
Y15-64,COMPLET,EU28_FOR,NR,T,SE	24030 	: 	: 	: 
Y15-64,COMPLET,EU28_FOR,NR,T,SI	2682 	2242 	2475 	2625 
Y15-64,COMPLET,EU28_FOR,NR,T,UK	228834 	245143 	246123 	183132 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,AT	15825 	21212 	11703 	10336 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,BE	20380 	: 	19021 	19303 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,BG	3063 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,EL	11874 b	2639 	1965 	5386 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,ES	115837 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,FI	6849 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,HR	2094 	: 	2307.0 	2664.0 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,IE	11956 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,IS	547 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,IT	63661 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,LT	1492 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,LU	2641 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,MT	2105 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,NO	12184 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,PL	18077 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,RO	13137 	9500 	15106 	9535 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,SE	34687 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,SI	2494 	2761 	2174 	2137 
Y15-64,COMPLET,EXT_FOR_HDI,NR,F,UK	139701 	132517 	138947 	123448 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,AT	20110 	39732 	16864 	12380 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,BE	21005 	: 	20052 	19831 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,BG	2793 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,EL	32850 b	7712 	5389 	8585 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,ES	102356 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,FI	9402 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,HR	3825 	: 	2825.0 	2942.0 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,IE	11224 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,IS	532 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,IT	109724 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,LT	4721 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,LU	2778 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,MT	2656 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,NO	13236 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,PL	27383 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,RO	18219 	13618 	19441 	13574 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,SE	47902 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,SI	4251 	3760 	2848 	3154 
Y15-64,COMPLET,EXT_FOR_HDI,NR,M,UK	119068 	121802 	132885 	111160 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,AT	35935 	60944 	28567 	22716 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,BE	41385 	: 	39073 	39134 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,BG	5856 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,EL	44724 b	10351 	7354 	13971 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,ES	218193 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,FI	16251 	: 	: 	: 
Y15-64,COMPLET,EXT_FOR_HDI,NR,T,HR	5919 	: 	5132.0 	5606.0 
