Year,region_dest,region_orig,Immigrants
2005,Africa,Africa,11614603
2005,Africa,Asia,2185703
2005,Africa,Europe,592972
2005,Africa,Latin America and the Caribbean,5131
2005,Africa,North America,44100
2005,Africa,Oceania,7393
2005,Asia,Africa,2397031
2005,Asia,Asia,41994923
2005,Asia,Europe,6470649
2005,Asia,Latin America and the Caribbean,82649
2005,Asia,North America,375074
2005,Asia,Oceania,68325
2005,Europe,Africa,7071030
2005,Europe,Asia,30384758
2005,Europe,Europe,32364000
2005,Europe,Latin America and the Caribbean,2650136
2005,Europe,North America,820402
2005,Europe,Oceania,283255
2005,Latin America and the Caribbean,Africa,26696
2005,Latin America and the Caribbean,Asia,1543986
2005,Latin America and the Caribbean,Europe,1265560
2005,Latin America and the Caribbean,Latin America and the Caribbean,3466846
2005,Latin America and the Caribbean,North America,969392
2005,Latin America and the Caribbean,Oceania,5066
2005,North America,Africa,1401080
2005,North America,Asia,15120183
2005,North America,Europe,6927728
2005,North America,Latin America and the Caribbean,20433494
2005,North America,North America,1132643
2005,North America,Oceania,223159
2005,Oceania,Africa,323785
2005,Oceania,Asia,3519259
2005,Oceania,Europe,2608449
2005,Oceania,Latin America and the Caribbean,78791
2005,Oceania,North America,160576
2005,Oceania,Oceania,735391
