Year,region_dest,region_orig,Immigrants
1995,Africa,Africa,13387809
1995,Africa,Asia,1830575
1995,Africa,Europe,543542
1995,Africa,Latin America and the Caribbean,4845
1995,Africa,North America,47107
1995,Africa,Oceania,7044
1995,Asia,Africa,1952778
1995,Asia,Asia,36754210
1995,Asia,Europe,7160278
1995,Asia,Latin America and the Caribbean,58082
1995,Asia,North America,292539
1995,Asia,Oceania,49307
1995,Europe,Africa,4708286
1995,Europe,Asia,28115192
1995,Europe,Europe,28806141
1995,Europe,Latin America and the Caribbean,1085607
1995,Europe,North America,737521
1995,Europe,Oceania,220326
1995,Latin America and the Caribbean,Africa,19403
1995,Latin America and the Caribbean,Asia,1268562
1995,Latin America and the Caribbean,Europe,1612765
1995,Latin America and the Caribbean,Latin America and the Caribbean,3065082
1995,Latin America and the Caribbean,North America,69994
1995,Latin America and the Caribbean,Oceania,4382
1995,North America,Africa,759058
1995,North America,Asia,10858907
1995,North America,Europe,820378
1995,North America,Latin America and the Caribbean,13905026
1995,North America,North America,1054132
1995,North America,Oceania,170635
1995,Oceania,Africa,179739
1995,Oceania,Asia,2833321
1995,Oceania,Europe,2604892
1995,Oceania,Latin America and the Caribbean,69232
1995,Oceania,North America,134825
1995,Oceania,Oceania,563726
