Year,region_dest,region_orig,Immigrants
2000,Africa,Africa,11491021
2000,Africa,Asia,1995658
2000,Africa,Europe,534732
2000,Africa,Latin America and the Caribbean,4815
2000,Africa,North America,40152
2000,Africa,Oceania,6372
2000,Asia,Africa,2162399
2000,Asia,Asia,38544494
2000,Asia,Europe,6478362
2000,Asia,Latin America and the Caribbean,7467
2000,Asia,North America,338361
2000,Asia,Oceania,58566
2000,Europe,Africa,5310463
2000,Europe,Asia,28842851
2000,Europe,Europe,30347131
2000,Europe,Latin America and the Caribbean,1374410
2000,Europe,North America,729679
2000,Europe,Oceania,257004
2000,Latin America and the Caribbean,Africa,20062
2000,Latin America and the Caribbean,Asia,1367910
2000,Latin America and the Caribbean,Europe,1414349
2000,Latin America and the Caribbean,Latin America and the Caribbean,3112080
2000,Latin America and the Caribbean,North America,800361
2000,Latin America and the Caribbean,Oceania,5117
2000,North America,Africa,1027690
2000,North America,Asia,13275342
2000,North America,Europe,7079356
2000,North America,Latin America and the Caribbean,18170354
2000,North America,North America,1114430
2000,North America,Oceania,20986
2000,Oceania,Africa,226019
2000,Oceania,Asia,3068594
2000,Oceania,Europe,2585753
2000,Oceania,Latin America and the Caribbean,7041
2000,Oceania,North America,139513
2000,Oceania,Oceania,642796
