CC5_13_FOR_X_IS,TOTAL,NR,M,SK	1008 	950 	885 	831 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,AT	258923 	255602 	251717 	248394 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,BE	46778 	46838 	47128 	47549 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,BG	13108 	11369 	10277 	9222 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,CH	205590 	207459 	214196 	226192 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,CY	: 	: 	: 	534 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,CZ	7387 	6419 	6159 	5921 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,DE	1602125 	1633194 	1628881 	1628081 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,DK	33953 	34522 	33920 	33379 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,EE	328 	283 	218 	164 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,EL	: 	: 	: 	9891 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,ES	: 	: 	7285 	7046 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,FI	5612 	5550 	5460 	5376 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,FR	: 	: 	: 	274056 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,HR	: 	: 	: 	5707 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,HU	4714 	4674 	4524 	5014 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,IE	1505 	: 	: 	1587 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,IS	130 	113 	111 	124 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,IT	129421 	137885 	144027 	148548 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,LI	1058 	1119 	1131 	1196 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,LT	34 	7 	42 	56 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,LU	7831 	7287 	: 	7370 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,LV	97 	82 	89 	83 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,NL	78002 	79021 	80999 	83403 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,NO	8478 	7641 	7149 	6751 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,PL	: 	: 	: 	2142 p	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,PT	918 	: 	: 	633 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,RO	10323 	10375 	: 	9824 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,SE	21095 	21204 	21580 	21306 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,SI	22382 	21186 	20706 	20455 	: 
CC5_13_FOR_X_IS,TOTAL,NR,T,SK	1416 	1344 	1239 	1175 	: 
CC5_13_FOR_X_IS,UNK,NR,F,AT	0 	0 	0 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,BE	0 	: 	0 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,BG	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,CH	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,CZ	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,DE	0 	0 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,DK	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,EE	0 	: 	0 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,FI	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,FR	: 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,HU	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,IE	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,IS	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,IT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,LI	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,LT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,LU	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,LV	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,MT	: 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,NL	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,NO	0 	0 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,PT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,RO	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,SE	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,F,SI	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,F,SK	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,AT	0 	0 	0 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,BE	0 	: 	0 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,BG	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,CH	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,CZ	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,DE	0 	0 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,DK	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,EE	0 	: 	0 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,FI	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,FR	: 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,HU	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,IE	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,IS	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,IT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,LI	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,LT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,LU	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,LV	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,MT	: 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,NL	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,NO	0 	0 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,PT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,RO	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,SE	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,M,SI	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,M,SK	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,AT	0 	0 	0 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,BE	0 	: 	0 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,BG	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,CH	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,CZ	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,DE	0 	0 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,DK	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,EE	0 	: 	0 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,FI	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,FR	: 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,HU	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,IE	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,IS	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,IT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,LI	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,LT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,LU	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,LV	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,MT	: 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,NL	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,NO	0 	0 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,PT	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,RO	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,SE	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,UNK,NR,T,SI	0 	: 	: 	0 	: 
CC5_13_FOR_X_IS,UNK,NR,T,SK	0 	: 	: 	: 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,AT	6209 	6239 	6474 	6547 	: 
CC5_13_FOR_X_IS,Y10-14,NR,F,BE	911 	865 	912 	990 	: 
